Component,Value_5yr_pct,Value_annual_pct
Contemporaneous changes,-2.026164655015162,-0.4052329310030324
Persistence,5.52486159920937,1.104972319841874
Period dummy,-3.520895852885507,-0.7041791705771014
Residual,-1.4968010913085708,-0.29936021826171416
Actual growth,-1.5189999999998705,-0.3037999999999741
